Номер_рейса|Тип_самолёта|Город_вылета|Аэропорт_вылета|Город_прилёта|Аэропорт_прилёта|Время_отправления|Время_прибытия|
WH 8856|Ту-134|45|Магнитогорск|Магнитогорск|Пермь|Большое Савино|04.11.2020 1:51:00|04.11.2020 5:05:00|
SC 0412|Аэробус-A310|177|Барнаул|Барнаул|Калуга|Грабцево|04.11.2020 4:09:00|04.11.2020 5:39:00|
FK 0254|Боинг-747|143|Магнитогорск|Магнитогорск|Владивосток|Кневичи|04.11.2020 15:34:00|04.11.2020 17:29:00|
UI 0542|Аэробус-A330|332|Ярославль|Туношна|Челябинск|Баландино|04.11.2020 10:20:00|04.11.2020 13:08:00|
SA 9937|Аэробус-A330|252|Владивосток|Кневичи|Майкоп|Майкоп|04.11.2020 4:05:00|04.11.2020 5:07:00|
GQ 2064|Боинг-767|238|Элиста|Элиста|Красноярск|Емельяново|04.11.2020 21:30:00|05.11.2020 1:38:00|
VA 4575|Боинг-767|98|Анапа|Витязево|Минеральные Воды|Минеральные Воды|04.11.2020 6:23:00|04.11.2020 10:43:00|
BV 8188|ИЛ-96-300|164|Саранск|Саранск|Санкт - Петербург|Пулково|04.11.2020 8:53:00|04.11.2020 10:51:00|
QD 5410|ИЛ-96-300|175|Ульяновск|Восточный|Краснодар|Пашковский|04.11.2020 21:36:00|05.11.2020 1:08:00|
HT 8560|Аэробус-A330|391|Новокузнецк|Спиченково|Абакан|Абакан|04.11.2020 1:49:00|04.11.2020 4:24:00|
QW 3171|Аэробус-A320|167|Орск|Орск|Мурманск|Мурманск|04.11.2020 14:32:00|04.11.2020 16:38:00|
TN 3059|ИЛ-96М|210|Красноярск|Емельяново|Курган|Курган|04.11.2020 14:10:00|04.11.2020 15:28:00|
OT 4444|Аэробус-A320|209|Благовещенск|Игнатьево|Москва|Домодедово|04.11.2020 5:41:00|04.11.2020 8:59:00|
XM 1072|Ту-134|52|Ульяновск|Баратаевка|Сыктывкар|Сыктывкар|04.11.2020 12:27:00|04.11.2020 15:10:00|
TI 1777|Боинг-777|174|Сургут|Сургут|Москва|Шереметьево|04.11.2020 2:04:00|04.11.2020 3:04:00|
TV 5050|ИЛ-96|54|Варандей|Варандей|Омск|Омск-Центральный|04.11.2020 3:16:00|04.11.2020 6:42:00|
IT 7438|Ту-134|30|Краснодар|Пашковский|Магнитогорск|Магнитогорск|04.11.2020 14:23:00|04.11.2020 18:08:00|
DL 9050|Боинг-777|184|Варандей|Варандей|Томск|Богашёво|04.11.2020 18:17:00|04.11.2020 21:04:00|
ES 0704|Ту-154 |94|Тюмень|Рощино|Челябинск|Баландино|04.11.2020 7:02:00|04.11.2020 8:56:00|
QM 8596|Боинг-737|82|Самара|Самара|Астрахань|Нариманово|04.11.2020 2:01:00|04.11.2020 3:20:00|
OB 1097|Ту-154 |93|Элиста|Элиста|Пермь|Большое Савино|04.11.2020 6:36:00|04.11.2020 9:56:00|
NG 0807|ИЛ-96-300|228|Чебоксары|Чебоксары|Саранск|Саранск|04.11.2020 6:37:00|04.11.2020 11:01:00|
ED 8439|Аэробус-A330|416|Благовещенск|Игнатьево|Екатеринбург|Кольцово|04.11.2020 5:46:00|04.11.2020 6:47:00|
GN 8036|Боинг-767|140|Саратов|Гагарин|Калининград|Храброво|04.11.2020 13:47:00|04.11.2020 14:53:00|
AF 2419|ИЛ-96|61|Ростов - на - Дону|Платов|Псков|Кресты|04.11.2020 13:32:00|04.11.2020 15:25:00|
OV 6838|Ту-154 |49|Владивосток|Кневичи|Омск|Омск-Центральный|04.11.2020 0:49:00|04.11.2020 3:08:00|
JL 4322|Аэробус-A310|99|Новокузнецк|Спиченково|Грозный|Северный|04.11.2020 15:39:00|04.11.2020 16:42:00|
OP 9922|ИЛ-96М|179|Краснодар|Пашковский|Анапа|Витязево|04.11.2020 16:51:00|04.11.2020 21:23:00|
ZK 0292|Аэробус-A310|165|Кемерово|Кемерово|Курумоч|Курумоч|04.11.2020 13:17:00|04.11.2020 15:55:00|
IN 8860|Сc-100|52|Нижневартовск|Нижневартовск|Сочи|Адлер|04.11.2020 1:13:00|04.11.2020 3:13:00|
XI 1367|ИЛ-96-300|142|Омск|Омск-Центральный|Череповец|Череповец|04.11.2020 8:16:00|04.11.2020 10:06:00|
AQ 1063|Аэробус-A310|167|Череповец|Череповец|Петрозаводск|Петрозаводск|04.11.2020 6:27:00|04.11.2020 8:53:00|
LJ 5299|Ту-134|78|Нальчик|Нальчик|Липецк|Липецк|04.11.2020 16:54:00|04.11.2020 21:52:00|
XX 0705|ИЛ-96М|269|Петрозаводск|Петрозаводск|Воронеж|Чертовицкое|04.11.2020 4:26:00|04.11.2020 5:45:00|
LH 3868|Боинг-767|135|Барнаул|Барнаул|Ульяновск|Восточный|04.11.2020 19:18:00|05.11.2020 0:14:00|
AU 4964|Ту-204|164|Орск|Орск|Тюмень|Рощино|04.11.2020 19:11:00|04.11.2020 22:33:00|
ZN 9143|Боинг-737|102|Казань|Казань|Москва|Внуково|04.11.2020 8:38:00|04.11.2020 12:16:00|
CQ 6792|ИЛ-96|57|Брянск|Брянск|Краснодар|Пашковский|04.11.2020 23:41:00|05.11.2020 2:38:00|
ZI 4175|Аэробус-A320|93|Варандей|Варандей|Южно - Сахалинск|Хомутово|04.11.2020 10:58:00|04.11.2020 13:33:00|
DD 1181|ИЛ-62|63|Псков|Кресты|Брянск|Брянск|04.11.2020 0:51:00|04.11.2020 5:17:00|
GZ 5669|ИЛ-96|176|Петрозаводск|Петрозаводск|Нижний Новгород|Стригино|04.11.2020 10:06:00|04.11.2020 13:34:00|
XM 5602|Боинг-737|78|Томск|Богашёво|Чита|Кадала|04.11.2020 21:56:00|05.11.2020 0:39:00|
VA 4113|ИЛ-62|188|Абакан|Абакан|Хабаровск|Хабаровск-Новый|04.11.2020 12:30:00|04.11.2020 14:47:00|
FG 4896|Ту-154 |72|Курган|Курган|Краснодар|Пашковский|04.11.2020 11:57:00|04.11.2020 13:14:00|
XE 3786|Аэробус-A320|117|Астрахань|Нариманово|Абакан|Абакан|04.11.2020 12:29:00|04.11.2020 14:49:00|
WC 6810|Ту-204|172|Саранск|Саранск|Екатеринбург|Кольцово|04.11.2020 2:56:00|04.11.2020 7:46:00|
YV 1519|Ту-204|79|Петрозаводск|Петрозаводск|Волгоград|Гумрак|04.11.2020 15:14:00|04.11.2020 16:26:00|
CC 1459|ИЛ-86|236|Петропавловск - Камчатский|Елизово|Казань|Казань|04.11.2020 13:30:00|04.11.2020 15:11:00|
AX 3081|Боинг-747|270|Москва|Шереметьево|Томск|Богашёво|04.11.2020 0:30:00|04.11.2020 5:04:00|
FP 2460|ИЛ-96М|148|Иркутск|Иркутск|Магадан|Сокол|04.11.2020 14:16:00|04.11.2020 17:55:00|
TG 3666|Ту-134|92|Пермь|Большое Савино|Майкоп|Майкоп|04.11.2020 18:31:00|04.11.2020 20:39:00|
SS 1300|Боинг-777|176|Москва|Внуково|Анадырь|Угольный|04.11.2020 9:09:00|04.11.2020 12:23:00|
DN 1147|Боинг-737|51|Ярославль|Туношна|Калининград|Храброво|04.11.2020 13:51:00|04.11.2020 15:29:00|
PS 9994|Боинг-767|142|Провидения|Бухта Провидения|Брянск|Брянск|04.11.2020 21:49:00|05.11.2020 0:06:00|
FO 0758|ИЛ-96|64|Волгоград|Гумрак|Благовещенск|Игнатьево|04.11.2020 19:24:00|05.11.2020 0:07:00|
QL 0416|ИЛ-96М|392|Саратов|Гагарин|Нижнекамск|Бегишево|04.11.2020 16:29:00|04.11.2020 17:38:00|
NU 1882|ИЛ-86|119|Грозный|Северный|Нижневартовск|Нижневартовск|04.11.2020 4:13:00|04.11.2020 7:59:00|
KA 0131|ИЛ-96М|144|Москва|Шереметьево|Грозный|Северный|04.11.2020 7:10:00|04.11.2020 11:56:00|
UI 4883|ИЛ-62|130|Элиста|Элиста|Грозный|Северный|04.11.2020 21:18:00|04.11.2020 23:22:00|
HW 8828|Сc-100|62|Южно - Сахалинск|Хомутово|Брянск|Брянск|04.11.2020 18:32:00|04.11.2020 20:06:00|
HM 9408|Аэробус-A320|238|Ярославль|Туношна|Белгород|Белгород|04.11.2020 15:23:00|04.11.2020 19:01:00|
VN 1721|Боинг-747|107|Нижний Новгород|Стригино|Нальчик|Нальчик|04.11.2020 5:37:00|04.11.2020 10:26:00|
SN 4216|ИЛ-62|153|Симферополь|Симферополь|Курган|Курган|04.11.2020 12:27:00|04.11.2020 14:04:00|
QJ 3691|ИЛ-96|127|Якутск|Якутск|Краснодар|Пашковский|04.11.2020 7:16:00|04.11.2020 11:54:00|
HK 0057|Боинг-747|106|Москва|Внуково|Саратов|Гагарин|04.11.2020 10:43:00|04.11.2020 15:23:00|
MR 9166|Сc-100|33|Владивосток|Кневичи|Казань|Казань|04.11.2020 16:54:00|04.11.2020 19:54:00|
WY 3461|Ту-134|45|Барнаул|Барнаул|Петрозаводск|Петрозаводск|04.11.2020 14:40:00|04.11.2020 18:53:00|
ZH 0699|Боинг-767|84|Воронеж|Чертовицкое|Курган|Курган|04.11.2020 14:50:00|04.11.2020 18:30:00|
JQ 8443|Ту-204|64|Курумоч|Курумоч|Сабетта|Сабетта|04.11.2020 16:56:00|04.11.2020 18:10:00|
UL 6953|ИЛ-96-300|228|Чебоксары|Чебоксары|Псков|Кресты|04.11.2020 23:31:00|05.11.2020 1:49:00|
ZQ 4887|Аэробус-A320|258|Новокузнецк|Спиченково|Южно - Сахалинск|Хомутово|04.11.2020 9:36:00|04.11.2020 11:17:00|
IF 8093|Аэробус-A320|231|Курумоч|Курумоч|Волгоград|Гумрак|04.11.2020 9:16:00|04.11.2020 13:25:00|
UP 8738|Боинг-777|86|Петрозаводск|Петрозаводск|Брянск|Брянск|04.11.2020 13:48:00|04.11.2020 17:55:00|
NI 0772|ИЛ-62|107|Белгород|Белгород|Чита|Кадала|04.11.2020 0:50:00|04.11.2020 4:37:00|
JC 4080|Аэробус-A310|67|Новокузнецк|Спиченково|Кемерово|Кемерово|04.11.2020 3:47:00|04.11.2020 7:03:00|
FK 0642|ИЛ-62|80|Москва|Жуковский|Махачкала|Уйташ|04.11.2020 18:56:00|04.11.2020 21:36:00|
EM 4148|Боинг-767|199|Калининград|Храброво|Братск|Братск|04.11.2020 14:32:00|04.11.2020 16:34:00|
DY 6409|Боинг-777|99|Симферополь|Симферополь|Провидения|Бухта Провидения|04.11.2020 6:25:00|04.11.2020 9:34:00|
ZH 5146|Ту-154 |96|Южно - Сахалинск|Хомутово|Петропавловск - Камчатский|Елизово|04.11.2020 15:21:00|04.11.2020 19:45:00|
IB 8254|Ту-154 |62|Сургут|Сургут|Астрахань|Нариманово|04.11.2020 11:01:00|04.11.2020 13:25:00|
VM 2331|Аэробус-A330|403|Белгород|Белгород|Курган|Курган|04.11.2020 3:03:00|04.11.2020 6:38:00|
NS 8550|Ту-134|40|Петропавловск - Камчатский|Елизово|Астрахань|Нариманово|04.11.2020 7:27:00|04.11.2020 8:43:00|
CO 3950|Ту-204|80|Тюмень|Рощино|Варандей|Варандей|04.11.2020 4:36:00|04.11.2020 6:38:00|
DJ 9257|Сc-100|91|Нижний Новгород|Стригино|Самара|Самара|04.11.2020 7:15:00|04.11.2020 10:09:00|
SM 1299|Боинг-767|126|Липецк|Липецк|Москва|Домодедово|04.11.2020 11:05:00|04.11.2020 15:16:00|
WB 5126|Боинг-767|132|Новосибирск|Толмачёво|Москва|Внуково|04.11.2020 4:23:00|04.11.2020 7:18:00|
HY 1360|Аэробус-A330|145|Псков|Кресты|Воронеж|Чертовицкое|04.11.2020 22:33:00|05.11.2020 0:24:00|
IK 9114|Ту-204|181|Псков|Кресты|Курск|Восточный|04.11.2020 8:23:00|04.11.2020 10:55:00|
LP 1859|Боинг-747|180|Курск|Восточный|Курумоч|Курумоч|04.11.2020 3:01:00|04.11.2020 7:13:00|
AP 7476|ИЛ-96М|155|Курск|Восточный|Иркутск|Иркутск|04.11.2020 8:22:00|04.11.2020 10:14:00|
LU 6997|Боинг-767|118|Магнитогорск|Магнитогорск|Ханты - Мансийск|Ханты - Мансийск|04.11.2020 17:37:00|04.11.2020 22:29:00|
LX 9981|ИЛ-96|63|Сургут|Сургут|Анапа|Витязево|04.11.2020 4:36:00|04.11.2020 8:39:00|
VI 3185|ИЛ-86|147|Петропавловск - Камчатский|Елизово|Симферополь|Симферополь|04.11.2020 8:46:00|04.11.2020 11:09:00|
EG 0986|Ту-154 |117|Ульяновск|Восточный|Курган|Курган|04.11.2020 8:13:00|04.11.2020 11:14:00|
UC 6467|ИЛ-62|61|Барнаул|Барнаул|Чита|Кадала|04.11.2020 23:13:00|05.11.2020 0:33:00|
YI 7006|Сc-100|63|Анадырь|Угольный|Ульяновск|Баратаевка|04.11.2020 0:46:00|04.11.2020 2:25:00|
FF 1990|Боинг-767|128|Кемерово|Кемерово|Новокузнецк|Спиченково|04.11.2020 14:07:00|04.11.2020 15:24:00|
HD 3060|Боинг-737|96|Мурманск|Мурманск|Тюмень|Рощино|04.11.2020 21:45:00|04.11.2020 23:51:00|
ZQ 0296|Аэробус-A330|286|Калуга|Грабцево|Томск|Богашёво|04.11.2020 21:03:00|05.11.2020 1:52:00|
NI 7971|Боинг-777|228|Архангельск|Талаги|Симферополь|Симферополь|04.11.2020 3:58:00|04.11.2020 5:51:00|
NM 3062|Сc-100|77|Краснодар|Пашковский|Череповец|Череповец|04.11.2020 6:02:00|04.11.2020 9:12:00|
MS 5364|Боинг-777|178|Варандей|Варандей|Нижневартовск|Нижневартовск|04.11.2020 23:29:00|05.11.2020 0:44:00|
XX 3628|ИЛ-62|163|Самара|Самара|Саранск|Саранск|04.11.2020 2:11:00|04.11.2020 3:39:00|
KC 2635|Боинг-767|112|Владивосток|Кневичи|Новокузнецк|Спиченково|04.11.2020 9:42:00|04.11.2020 10:58:00|
LM 5853|ИЛ-96М|320|Москва|Домодедово|Москва|Жуковский|04.11.2020 9:35:00|04.11.2020 13:14:00|
SX 7374|Ту-204|147|Сочи|Адлер|Владикавказ|Беслан|04.11.2020 9:28:00|04.11.2020 10:58:00|
DG 8629|Боинг-777|101|Брянск|Брянск|Кемерово|Кемерово|04.11.2020 4:51:00|04.11.2020 6:40:00|
LJ 4238|Ту-154 |124|Барнаул|Барнаул|Владивосток|Кневичи|04.11.2020 10:50:00|04.11.2020 15:03:00|
NH 5981|ИЛ-86|176|Чебоксары|Чебоксары|Ярославль|Туношна|04.11.2020 18:46:00|04.11.2020 20:23:00|
SH 4356|ИЛ-96-300|172|Саратов|Гагарин|Нижневартовск|Нижневартовск|04.11.2020 1:30:00|04.11.2020 5:33:00|
GA 4444|Боинг-747|186|Абакан|Абакан|Минеральные Воды|Минеральные Воды|04.11.2020 16:08:00|04.11.2020 18:53:00|
QF 8867|ИЛ-96-300|121|Минеральные Воды|Минеральные Воды|Мурманск|Мурманск|04.11.2020 5:45:00|04.11.2020 9:19:00|
CP 2204|ИЛ-96-300|91|Петрозаводск|Петрозаводск|Челябинск|Баландино|04.11.2020 22:28:00|05.11.2020 1:45:00|
OM 6427|Ту-204|74|Оренбург|Оренбург-Центральный|Челябинск|Баландино|04.11.2020 16:53:00|04.11.2020 21:15:00|
OQ 5192|Аэробус-A320|218|Петропавловск - Камчатский|Елизово|Москва|Домодедово|04.11.2020 4:47:00|04.11.2020 6:59:00|
YK 3468|ИЛ-86|110|Махачкала|Уйташ|Новокузнецк|Спиченково|04.11.2020 13:56:00|04.11.2020 15:55:00|
SH 5246|ИЛ-62|94|Брянск|Брянск|Москва|Шереметьево|04.11.2020 12:26:00|04.11.2020 17:16:00|
ZC 7755|Аэробус-A320|242|Оренбург|Оренбург-Центральный|Нижневартовск|Нижневартовск|04.11.2020 16:07:00|04.11.2020 18:22:00|
XG 7959|Сc-100|78|Ставрополь|Шпаковское|Белгород|Белгород|04.11.2020 4:21:00|04.11.2020 9:13:00|
GD 0128|Боинг-777|177|Владивосток|Кневичи|Новокузнецк|Спиченково|04.11.2020 6:39:00|04.11.2020 11:35:00|
QI 3818|Ту-154 |63|Тюмень|Рощино|Сочи|Адлер|04.11.2020 11:09:00|04.11.2020 15:56:00|
GU 2975|ИЛ-86|218|Элиста|Элиста|Волгоград|Гумрак|04.11.2020 20:27:00|04.11.2020 22:27:00|
VR 6604|ИЛ-62|130|Элиста|Элиста|Челябинск|Баландино|04.11.2020 9:54:00|04.11.2020 14:47:00|
OU 8775|Боинг-777|116|Краснодар|Пашковский|Симферополь|Симферополь|04.11.2020 9:10:00|04.11.2020 13:19:00|
KI 4014|ИЛ-96|162|Абакан|Абакан|Южно - Сахалинск|Хомутово|04.11.2020 11:10:00|04.11.2020 15:03:00|
QV 4538|Ту-154 |131|Кемерово|Кемерово|Брянск|Брянск|04.11.2020 17:13:00|04.11.2020 19:58:00|
IF 9542|ИЛ-96-300|122|Томск|Богашёво|Якутск|Якутск|04.11.2020 2:53:00|04.11.2020 7:06:00|
BF 1323|ИЛ-96М|133|Омск|Омск-Центральный|Астрахань|Нариманово|04.11.2020 20:41:00|04.11.2020 23:21:00|
FE 0416|Боинг-747|229|Волгоград|Гумрак|Ханты - Мансийск|Ханты - Мансийск|04.11.2020 21:25:00|05.11.2020 0:41:00|
YL 4293|Аэробус-A330|291|Южно - Сахалинск|Хомутово|Оренбург|Оренбург-Центральный|04.11.2020 15:57:00|04.11.2020 20:20:00|
AK 4741|Боинг-767|249|Саратов|Гагарин|Майкоп|Майкоп|04.11.2020 5:23:00|04.11.2020 9:31:00|
AW 1762|Боинг-767|199|Брянск|Брянск|Уфа|Уфа|04.11.2020 12:20:00|04.11.2020 13:57:00|
FM 8553|ИЛ-96-300|141|Кемерово|Кемерово|Воронеж|Чертовицкое|04.11.2020 5:24:00|04.11.2020 8:07:00|
ZF 5432|Боинг-747|113|Череповец|Череповец|Сабетта|Сабетта|04.11.2020 9:13:00|04.11.2020 13:59:00|
AW 1279|ИЛ-96|91|Петропавловск - Камчатский|Елизово|Челябинск|Баландино|04.11.2020 2:10:00|04.11.2020 6:30:00|
CB 4188|ИЛ-86|135|Мурманск|Мурманск|Магнитогорск|Магнитогорск|04.11.2020 2:38:00|04.11.2020 5:49:00|
UF 0535|ИЛ-86|225|Южно - Сахалинск|Хомутово|Минеральные Воды|Минеральные Воды|04.11.2020 4:58:00|04.11.2020 7:30:00|
OQ 1164|ИЛ-86|200|Москва|Шереметьево|Чебоксары|Чебоксары|04.11.2020 16:47:00|04.11.2020 20:59:00|
DB 7970|Аэробус-A320|123|Сабетта|Сабетта|Хабаровск|Хабаровск-Новый|04.11.2020 6:01:00|04.11.2020 9:24:00|
GC 2852|Ту-204|135|Оренбург|Оренбург-Центральный|Курган|Курган|04.11.2020 1:18:00|04.11.2020 5:15:00|
JO 0763|Боинг-737|75|Анадырь|Угольный|Москва|Домодедово|04.11.2020 20:01:00|04.11.2020 23:46:00|
TO 1618|Ту-204|67|Челябинск|Баландино|Нальчик|Нальчик|04.11.2020 5:35:00|04.11.2020 8:05:00|
AJ 3957|Аэробус-A320|253|Москва|Внуково|Липецк|Липецк|04.11.2020 4:52:00|04.11.2020 6:51:00|
BU 0543|Боинг-747|262|Благовещенск|Игнатьево|Ульяновск|Баратаевка|04.11.2020 8:53:00|04.11.2020 10:38:00|
TT 7788|Сc-100|46|Элиста|Элиста|Воронеж|Чертовицкое|04.11.2020 4:05:00|04.11.2020 8:24:00|
RA 7799|Боинг-737|104|Ярославль|Туношна|Ханты - Мансийск|Ханты - Мансийск|04.11.2020 22:22:00|04.11.2020 23:35:00|
VX 5379|Ту-134|56|Новосибирск|Толмачёво|Москва|Шереметьево|04.11.2020 6:41:00|04.11.2020 9:39:00|
PK 9908|ИЛ-96-300|186|Калуга|Грабцево|Москва|Домодедово|04.11.2020 2:20:00|04.11.2020 6:45:00|
AE 3127|ИЛ-86|267|Элиста|Элиста|Москва|Домодедово|04.11.2020 16:38:00|04.11.2020 19:14:00|
YW 4694|Ту-134|62|Орск|Орск|Варандей|Варандей|04.11.2020 21:03:00|05.11.2020 1:22:00|
WB 4534|Боинг-777|221|Пермь|Большое Савино|Южно - Сахалинск|Хомутово|04.11.2020 2:21:00|04.11.2020 3:58:00|
DP 7422|ИЛ-62|150|Самара|Самара|Москва|Внуково|04.11.2020 3:39:00|04.11.2020 6:32:00|
JI 3894|Ту-154 |98|Саратов|Гагарин|Москва|Домодедово|04.11.2020 7:21:00|04.11.2020 8:39:00|
IK 4603|Сc-100|83|Ярославль|Туношна|Курумоч|Курумоч|04.11.2020 19:09:00|04.11.2020 23:41:00|
HX 1343|Боинг-767|229|Сыктывкар|Сыктывкар|Санкт - Петербург|Пулково|04.11.2020 13:45:00|04.11.2020 14:47:00|
KU 6793|Ту-134|40|Анадырь|Угольный|Псков|Кресты|04.11.2020 4:02:00|04.11.2020 6:22:00|
CA 6655|Аэробус-A320|90|Улан - Удэ|Мухино|Липецк|Липецк|04.11.2020 6:21:00|04.11.2020 11:02:00|
QS 2499|Боинг-747|103|Ростов - на - Дону|Платов|Ярославль|Туношна|04.11.2020 2:15:00|04.11.2020 6:15:00|
AR 7519|ИЛ-86|129|Мурманск|Мурманск|Новокузнецк|Спиченково|04.11.2020 4:09:00|04.11.2020 5:34:00|
ME 9894|ИЛ-96|56|Магнитогорск|Магнитогорск|Провидения|Бухта Провидения|04.11.2020 23:32:00|05.11.2020 3:14:00|
UT 2145|ИЛ-96|160|Владикавказ|Беслан|Новосибирск|Толмачёво|04.11.2020 8:15:00|04.11.2020 10:04:00|
IQ 7590|ИЛ-86|281|Череповец|Череповец|Сочи|Адлер|04.11.2020 3:48:00|04.11.2020 5:09:00|
KV 7047|Ту-134|59|Симферополь|Симферополь|Варандей|Варандей|04.11.2020 21:16:00|04.11.2020 22:39:00|
HX 2855|Аэробус-A310|144|Брянск|Брянск|Магнитогорск|Магнитогорск|04.11.2020 6:48:00|04.11.2020 10:39:00|
NY 8341|ИЛ-86|167|Чебоксары|Чебоксары|Нижний Новгород|Стригино|04.11.2020 2:05:00|04.11.2020 3:14:00|
HY 7588|ИЛ-62|171|Москва|Внуково|Омск|Омск-Центральный|04.11.2020 14:05:00|04.11.2020 15:46:00|
GY 3554|ИЛ-62|167|Сыктывкар|Сыктывкар|Тюмень|Рощино|04.11.2020 15:24:00|04.11.2020 19:12:00|
ZB 7621|Аэробус-A330|297|Якутск|Якутск|Майкоп|Майкоп|04.11.2020 22:34:00|05.11.2020 1:24:00|
AF 9562|Сc-100|47|Пермь|Большое Савино|Владивосток|Кневичи|04.11.2020 22:20:00|05.11.2020 3:19:00|
JC 2831|Ту-204|92|Благовещенск|Игнатьево|Магнитогорск|Магнитогорск|04.11.2020 1:43:00|04.11.2020 3:51:00|
AO 6584|Боинг-777|78|Белгород|Белгород|Саратов|Гагарин|04.11.2020 21:14:00|04.11.2020 22:48:00|
AT 4178|ИЛ-86|152|Омск|Омск-Центральный|Чебоксары|Чебоксары|04.11.2020 6:09:00|04.11.2020 11:04:00|
CS 2218|Боинг-747|170|Улан - Удэ|Мухино|Чебоксары|Чебоксары|04.11.2020 15:01:00|04.11.2020 17:13:00|
DP 9513|Аэробус-A310|87|Саратов|Гагарин|Якутск|Якутск|04.11.2020 18:55:00|04.11.2020 22:17:00|
YP 0843|ИЛ-96|163|Петропавловск - Камчатский|Елизово|Оренбург|Оренбург-Центральный|04.11.2020 18:47:00|04.11.2020 22:02:00|
QA 7528|Ту-204|133|Курск|Восточный|Абакан|Абакан|04.11.2020 7:01:00|04.11.2020 11:10:00|
BH 7145|ИЛ-96|126|Псков|Кресты|Мурманск|Мурманск|04.11.2020 8:57:00|04.11.2020 11:48:00|
UH 4871|Аэробус-A330|300|Майкоп|Майкоп|Владикавказ|Беслан|04.11.2020 11:09:00|04.11.2020 15:01:00|
NZ 1837|Боинг-747|224|Мурманск|Мурманск|Тюмень|Рощино|04.11.2020 3:30:00|04.11.2020 4:55:00|
IA 9393|Аэробус-A310|156|Новосибирск|Толмачёво|Омск|Омск-Центральный|04.11.2020 0:26:00|04.11.2020 2:17:00|
TI 2542|Боинг-777|191|Оренбург|Оренбург-Центральный|Петропавловск - Камчатский|Елизово|04.11.2020 10:45:00|04.11.2020 12:08:00|
KR 8872|ИЛ-86|243|Хабаровск|Хабаровск-Новый|Курск|Восточный|04.11.2020 13:00:00|04.11.2020 14:48:00|
EG 9421|ИЛ-96-300|106|Новосибирск|Толмачёво|Оренбург|Оренбург-Центральный|04.11.2020 9:56:00|04.11.2020 12:29:00|
BG 3785|Аэробус-A310|164|Саратов|Гагарин|Нижневартовск|Нижневартовск|04.11.2020 23:44:00|05.11.2020 3:45:00|
LE 5296|ИЛ-96М|200|Брянск|Брянск|Минеральные Воды|Минеральные Воды|04.11.2020 19:09:00|04.11.2020 21:43:00|
OO 9154|Боинг-747|172|Махачкала|Уйташ|Томск|Богашёво|04.11.2020 7:10:00|04.11.2020 10:15:00|
MA 3309|Аэробус-A320|161|Майкоп|Майкоп|Магнитогорск|Магнитогорск|04.11.2020 14:15:00|04.11.2020 17:42:00|
LA 1715|ИЛ-96М|255|Иркутск|Иркутск|Красноярск|Емельяново|04.11.2020 21:35:00|05.11.2020 2:20:00|
GV 3322|Ту-154 |94|Санкт - Петербург|Пулково|Владивосток|Кневичи|04.11.2020 21:44:00|05.11.2020 0:05:00|
VD 9993|Боинг-747|285|Курумоч|Курумоч|Мурманск|Мурманск|04.11.2020 5:35:00|04.11.2020 9:07:00|
ZJ 1704|Боинг-737|43|Махачкала|Уйташ|Томск|Богашёво|04.11.2020 2:01:00|04.11.2020 3:20:00|
AR 1022|Ту-134|84|Курумоч|Курумоч|Белгород|Белгород|04.11.2020 11:15:00|04.11.2020 13:39:00|
GL 0841|Аэробус-A330|330|Мурманск|Мурманск|Нижневартовск|Нижневартовск|04.11.2020 7:55:00|04.11.2020 9:09:00|
SN 2468|Боинг-777|213|Череповец|Череповец|Саратов|Гагарин|04.11.2020 18:40:00|04.11.2020 20:24:00|
MG 8056|ИЛ-96М|352|Хабаровск|Хабаровск-Новый|Астрахань|Нариманово|04.11.2020 2:30:00|04.11.2020 5:04:00|
MI 4968|Ту-154 |70|Ульяновск|Баратаевка|Братск|Братск|04.11.2020 14:12:00|04.11.2020 16:49:00|
KO 4602|Сc-100|44|Владикавказ|Беслан|Екатеринбург|Кольцово|04.11.2020 19:23:00|05.11.2020 0:12:00|
KA 3581|Боинг-777|116|Улан - Удэ|Мухино|Сабетта|Сабетта|04.11.2020 10:59:00|04.11.2020 12:15:00|
BH 9142|Боинг-747|115|Южно - Сахалинск|Хомутово|Екатеринбург|Кольцово|04.11.2020 5:14:00|04.11.2020 6:27:00|
VO 1806|ИЛ-96М|343|Воронеж|Чертовицкое|Самара|Самара|04.11.2020 21:17:00|04.11.2020 23:08:00|
DU 1860|Аэробус-A320|247|Магнитогорск|Магнитогорск|Пермь|Большое Савино|04.11.2020 6:02:00|04.11.2020 10:08:00|
JG 8710|ИЛ-86|277|Казань|Казань|Ростов - на - Дону|Платов|04.11.2020 2:59:00|04.11.2020 6:21:00|
CS 3790|Боинг-747|134|Саранск|Саранск|Петропавловск - Камчатский|Елизово|04.11.2020 0:08:00|04.11.2020 3:21:00|
YH 1579|Боинг-737|57|Якутск|Якутск|Ярославль|Туношна|04.11.2020 20:28:00|04.11.2020 23:22:00|
XM 3250|Боинг-747|101|Иркутск|Иркутск|Волгоград|Гумрак|04.11.2020 13:39:00|04.11.2020 17:19:00|
TY 5998|Аэробус-A310|137|Ханты - Мансийск|Ханты - Мансийск|Саранск|Саранск|04.11.2020 17:42:00|04.11.2020 22:22:00|
YT 3844|Сc-100|59|Красноярск|Емельяново|Ульяновск|Восточный|04.11.2020 20:26:00|04.11.2020 21:32:00|
